Loading repository data...
Reading installed packages...

S  | Name                                       | Type    | Version                                | Arch   | Repository
i  | dconf                                      | package | 0.40.0-3.8                             | x86_64 | Main Repository (OSS)
i  | debianutils                                | package | 5.4-2.5                                | x86_64 | Main Repository (OSS)
i  | debugedit                                  | package | 5.1-1.1                                | x86_64 | Main Repository (OSS)
i  | debuginfod-client                          | package | 0.192-1.1                              | x86_64 | Main Repository (OSS)
i  | debuginfod-profile                         | package | 0.192-1.1                              | x86_64 | Main Repository (OSS)
i  | dejavu-fonts                               | package | 2.37-1.21                              | noarch | Main Repository (OSS)
i  | deltarpm                                   | package | 3.6.5-1.1                              | x86_64 | Main Repository (OSS)
i  | desktop-data-openSUSE                      | package | 15.2.20200107-2.12                     | noarch | Main Repository (OSS)
i  | desktop-file-utils                         | package | 0.28-1.1                               | x86_64 | Main Repository (OSS)
i  | desktop-translations                       | package | 84.87.20241104.9505069-1.1             | noarch | Main Repository (OSS)
i  | desktop-translations-devel                 | package | 84.87.20241104.9505069-1.1             | noarch | Main Repository (OSS)
i  | device-mapper                              | package | 2.03.24_1.02.198-5.1                   | x86_64 | Main Repository (OSS)
i  | diffstat                                   | package | 1.66-1.2                               | x86_64 | Main Repository (OSS)
i  | diffutils                                  | package | 3.10-1.7                               | x86_64 | Main Repository (OSS)
i  | dirmngr                                    | package | 2.5.1-1.1                              | x86_64 | Main Repository (OSS)
i  | displaymanager-sysconfig                   | package | 1.1.16-4.1                             | x86_64 | Main Repository (OSS)
i  | distribution-logos-openSUSE-Tumbleweed     | package | 20241022-1.1                           | noarch | Main Repository (OSS)
i  | dkms                                       | package | 3.1.1-1.1                              | noarch | Main Repository (OSS)
i  | dkms-bash-completion                       | package | 3.1.1-1.1                              | noarch | Main Repository (OSS)
i  | dkms-nvidia                                | package | 340.107-7.364                          | x86_64 | (System Packages)
i  | dkms-nvidia-uvm                            | package | 340.107-8.363                          | x86_64 | (System Packages)
i  | dLeyna                                     | package | 0.8.3-2.4                              | x86_64 | Main Repository (OSS)
i  | dmidecode                                  | package | 3.6-2.1                                | x86_64 | Main Repository (OSS)
i  | dmraid                                     | package | 1.0.0.rc16.3-3.2                       | x86_64 | Main Repository (OSS)
i+ | dnf                                        | package | 4.18.0-6.1                             | noarch | Main Repository (OSS)
i  | dnf-data                                   | package | 4.18.0-6.1                             | noarch | Main Repository (OSS)
i  | dnf-plugins-core                           | package | 4.4.4-2.1                              | noarch | Main Repository (OSS)
i  | dnsmasq                                    | package | 2.90-3.1                               | x86_64 | Main Repository (OSS)
i  | docbook_4                                  | package | 4.5-144.2                              | noarch | Main Repository (OSS)
i  | dos2unix                                   | package | 7.5.2-1.3                              | x86_64 | Main Repository (OSS)
i  | dosbox                                     | package | 0.81.2-1.1                             | x86_64 | Main Repository (OSS)
i+ | dosfstools                                 | package | 4.2-4.6                                | x86_64 | Main Repository (OSS)
i  | dracut                                     | package | 059+suse.665.gd2af7028-1.1             | x86_64 | Main Repository (OSS)
i+ | dunst                                      | package | 1.9.2-1.3                              | x86_64 | Main Repository (OSS)
i  | dwarves                                    | package | 1.27-3.1                               | x86_64 | Main Repository (OSS)
i  | dwz                                        | package | 0.15-3.3                               | x86_64 | Main Repository (OSS)
i+ | e2fsprogs                                  | package | 1.47.0-4.3                             | x86_64 | Main Repository (OSS)
i  | e2fsprogs-devel                            | package | 1.47.0-4.3                             | x86_64 | Main Repository (OSS)
i  | ed                                         | package | 1.20.2-1.1                             | x86_64 | Main Repository (OSS)
i  | efibootmgr                                 | package | 18-1.6                                 | x86_64 | Main Repository (OSS)
i  | efont-unicode-bitmap-fonts                 | package | 0.4.2-229.2                            | noarch | Main Repository (OSS)
i  | elfutils                                   | package | 0.192-1.1                              | x86_64 | Main Repository (OSS)
i  | enchant-2-backend-hunspell                 | package | 2.8.2-1.2                              | x86_64 | Main Repository (OSS)
i  | enchant-data                               | package | 2.8.2-1.2                              | x86_64 | Main Repository (OSS)
i  | envsubst                                   | package | 0.22.5-7.1                             | x86_64 | Main Repository (OSS)
i  | ethtool                                    | package | 6.11-1.1                               | x86_64 | Main Repository (OSS)
i  | ethtool-bash-completion                    | package | 6.11-1.1                               | noarch | Main Repository (OSS)
i  | evolution-data-server                      | package | 3.54.2-1.1                             | x86_64 | Main Repository (OSS)
i  | exfatprogs                                 | package | 1.2.6-1.1                              | x86_64 | Main Repository (OSS)
i  | exo-data                                   | package | 4.18.0-2.1                             | x86_64 | Main Repository (OSS)
i  | exo-tools                                  | package | 4.18.0-2.1                             | x86_64 | Main Repository (OSS)
i  | expat                                      | package | 2.6.4-2.1                              | x86_64 | Main Repository (OSS)
i+ | fastfetch                                  | package | 2.31.0-1.1                             | x86_64 | Main Repository (OSS)
i  | fastfetch-bash-completion                  | package | 2.31.0-1.1                             | noarch | Main Repository (OSS)
i  | fastfetch-fish-completion                  | package | 2.31.0-1.1                             | noarch | Main Repository (OSS)
i+ | fd                                         | package | 10.2.0-1.1                             | x86_64 | Main Repository (OSS)
i  | fd-bash-completion                         | package | 10.2.0-1.1                             | noarch | Main Repository (OSS)
i  | fd-fish-completion                         | package | 10.2.0-1.1                             | noarch | Main Repository (OSS)
i  | fdupes                                     | package | 2.3.1-1.1                              | x86_64 | Main Repository (OSS)
i  | feh                                        | package | 3.10.3-1.1                             | x86_64 | Main Repository (OSS)
i+ | ffmpeg-7                                   | package | 7.1-1699.3.pm.3                        | x86_64 | Packman
i+ | ffmpegthumbnailer                          | package | 2.2.2-2.12                             | x86_64 | Main Repository (OSS)
i  | file                                       | package | 5.46-1.1                               | x86_64 | Main Repository (OSS)
i  | file-magic                                 | package | 5.46-1.1                               | noarch | Main Repository (OSS)
i  | filesystem                                 | package | 84.87-16.1                             | x86_64 | Main Repository (OSS)
i  | fillup                                     | package | 1.42-281.1                             | x86_64 | Main Repository (OSS)
i  | findutils                                  | package | 4.10.0-1.1                             | x86_64 | Main Repository (OSS)
i  | fipscheck                                  | package | 1.7.0-2.1                              | x86_64 | Main Repository (OSS)
i+ | firewalld                                  | package | 2.1.2-3.1                              | noarch | Main Repository (OSS)
i  | firewalld-bash-completion                  | package | 2.1.2-3.1                              | noarch | Main Repository (OSS)
i+ | fish                                       | package | 3.7.1-3.1                              | x86_64 | Main Repository (OSS)
i+ | flatpak                                    | package | 1.15.12-1.1                            | x86_64 | Main Repository (OSS)
i  | flatpak-remote-flathub                     | package | 1.15.12-1.1                            | noarch | Main Repository (OSS)
i  | flex                                       | package | 2.6.4-7.1                              | x86_64 | Main Repository (OSS)
i  | fluid-soundfont-gm                         | package | 3.1-5.21                               | noarch | Main Repository (OSS)
i  | fontawesome-fonts                          | package | 6.5.2-1.1                              | noarch | Main Repository (OSS)
i  | fontconfig                                 | package | 2.15.0-2.1                             | x86_64 | Main Repository (OSS)
i  | fontconfig-32bit                           | package | 2.15.0-2.1                             | x86_64 | Main Repository (OSS)
i  | fontconfig-devel                           | package | 2.15.0-2.1                             | x86_64 | Main Repository (OSS)
