Loading repository data...
Reading installed packages...

S  | Name                                       | Type    | Version                                | Arch   | Repository
i  | libpipeline1                               | package | 1.5.8-1.1                              | x86_64 | Main Repository (OSS)
i  | libpipewire-0_3-0                          | package | 1.2.7-1.1                              | x86_64 | Main Repository (OSS)
i  | libpipewire-0_3-0-32bit                    | package | 1.2.7-1.1                              | x86_64 | Main Repository (OSS)
i  | libpixman-1-0                              | package | 0.43.4-1.1                             | x86_64 | Main Repository (OSS)
i  | libpixman-1-0-32bit                        | package | 0.43.4-1.1                             | x86_64 | Main Repository (OSS)
i  | libpixman-1-0-devel                        | package | 0.43.4-1.1                             | x86_64 | Main Repository (OSS)
i  | libpkgconf5                                | package | 2.2.0-1.1                              | x86_64 | Main Repository (OSS)
i  | libplacebo264                              | package | 5.264.1-2.3                            | x86_64 | Main Repository (OSS)
i  | libplacebo349                              | package | 7.349.0-1.4                            | x86_64 | Main Repository (OSS)
i  | libplayerctl2                              | package | 2.4.1-1.12                             | x86_64 | Main Repository (OSS)
i  | libplist-2_0-4                             | package | 2.3.0-1.6                              | x86_64 | Main Repository (OSS)
i  | libply-splash-core5                        | package | 22.02.122+94.4bd41a3-12.1              | x86_64 | Main Repository (OSS)
i  | libply-splash-graphics5                    | package | 22.02.122+94.4bd41a3-12.1              | x86_64 | Main Repository (OSS)
i  | libply5                                    | package | 22.02.122+94.4bd41a3-12.1              | x86_64 | Main Repository (OSS)
i  | libpmem1                                   | package | 2.1.0-2.1                              | x86_64 | Main Repository (OSS)
i  | libpng12-0-32bit                           | package | 1.2.59-3.2                             | x86_64 | Main Repository (OSS)
i  | libpng16-16                                | package | 1.6.44-1.1                             | x86_64 | Main Repository (OSS)
i  | libpng16-16-32bit                          | package | 1.6.44-1.1                             | x86_64 | Main Repository (OSS)
i  | libpng16-16-x86-64-v3                      | package | 1.6.44-1.1                             | x86_64 | Main Repository (OSS)
i  | libpng16-compat-devel                      | package | 1.6.44-1.1                             | x86_64 | Main Repository (OSS)
i  | libpng16-devel                             | package | 1.6.44-1.1                             | x86_64 | Main Repository (OSS)
i  | libpolkit-agent-1-0                        | package | 123-4.1                                | x86_64 | Main Repository (OSS)
i  | libpolkit-gobject-1-0                      | package | 123-4.1                                | x86_64 | Main Repository (OSS)
i  | libpoppler-cpp1                            | package | 24.07.0-4.1                            | x86_64 | Main Repository (OSS)
i  | libpoppler-glib8                           | package | 24.07.0-4.1                            | x86_64 | Main Repository (OSS)
i  | libpoppler139                              | package | 24.07.0-4.1                            | x86_64 | Main Repository (OSS)
i  | libpopt0                                   | package | 1.19-1.8                               | x86_64 | Main Repository (OSS)
i  | libpopt0-32bit                             | package | 1.19-1.8                               | x86_64 | Main Repository (OSS)
i  | libportal-gtk4-1                           | package | 0.8.1-1.3                              | x86_64 | Main Repository (OSS)
i  | libportal1                                 | package | 0.8.1-1.3                              | x86_64 | Main Repository (OSS)
i  | libportaudio2                              | package | 190700_20210406-1.11                   | x86_64 | Main Repository (OSS)
i  | libportaudio2-32bit                        | package | 190700_20210406-1.11                   | x86_64 | Main Repository (OSS)
i  | libpostproc55_9                            | package | 4.4.4-1699.22.pm.9                     | x86_64 | Packman
i  | libpostproc58                              | package | 7.1-1699.3.pm.3                        | x86_64 | Packman
i  | libproc2-0                                 | package | 4.0.4-2.1                              | x86_64 | Main Repository (OSS)
i  | libprojectM3                               | package | 3.1.12-2.2                             | x86_64 | Main Repository (OSS)
i  | libprotobuf-c1                             | package | 1.5.0-3.3                              | x86_64 | Main Repository (OSS)
i  | libprotobuf-lite28_3_0                     | package | 28.3-14.2                              | x86_64 | Main Repository (OSS)
i  | libprotobuf28_3_0                          | package | 28.3-14.2                              | x86_64 | Main Repository (OSS)
i  | libproxy1                                  | package | 0.5.9-1.1                              | x86_64 | Main Repository (OSS)
i  | libpsl5                                    | package | 0.21.5-1.2                             | x86_64 | Main Repository (OSS)
i  | libpsl5-32bit                              | package | 0.21.5-1.2                             | x86_64 | Main Repository (OSS)
i  | libpulse-mainloop-glib0                    | package | 17.0-4.4                               | x86_64 | Main Repository (OSS)
i  | libpulse0                                  | package | 17.0-4.4                               | x86_64 | Main Repository (OSS)
i  | libpulse0-32bit                            | package | 17.0-4.4                               | x86_64 | Main Repository (OSS)
i  | libpwquality1                              | package | 1.4.5-3.1                              | x86_64 | Main Repository (OSS)
i  | libpwquality1-32bit                        | package | 1.4.5-3.1                              | x86_64 | Main Repository (OSS)
i  | libpxbackend-1_0                           | package | 0.5.9-1.1                              | x86_64 | Main Repository (OSS)
i  | libpython2_7-1_0                           | package | 2.7.18-51.1                            | x86_64 | Main Repository (OSS)
i  | libpython3_11-1_0                          | package | 3.11.10-5.1                            | x86_64 | Main Repository (OSS)
i  | libpython3_11-1_0-x86-64-v3                | package | 3.11.10-5.1                            | x86_64 | Main Repository (OSS)
i  | libpython3_13-1_0                          | package | 3.13.0-5.1                             | x86_64 | Main Repository (OSS)
i  | libpython3_13-1_0-x86-64-v3                | package | 3.13.0-5.1                             | x86_64 | Main Repository (OSS)
i  | libqmi-glib5                               | package | 1.34.0-2.3                             | x86_64 | Main Repository (OSS)
i  | libqmi-tools                               | package | 1.34.0-2.3                             | x86_64 | Main Repository (OSS)
i  | libqpdf29                                  | package | 11.9.1-1.2                             | x86_64 | Main Repository (OSS)
i  | libqrencode4                               | package | 4.1.1-2.3                              | x86_64 | Main Repository (OSS)
i  | libqrtr-glib0                              | package | 1.2.2-1.8                              | x86_64 | Main Repository (OSS)
i  | libqt5-qtbase-platformtheme-gtk3           | package | 5.15.16+kde130-1.1                     | x86_64 | Main Repository (OSS)
i  | libqt5-qtdeclarative-tools                 | package | 5.15.16+kde22-1.1                      | x86_64 | Main Repository (OSS)
i  | libqt5-qttranslations                      | package | 5.15.16+kde0-1.1                       | x86_64 | Main Repository (OSS)
i  | libqt5-qtxmlpatterns-imports               | package | 5.15.16+kde0-1.1                       | x86_64 | Main Repository (OSS)
i  | libQt5Core5                                | package | 5.15.16+kde130-1.1                     | x86_64 | Main Repository (OSS)
i  | libQt5DBus5                                | package | 5.15.16+kde130-1.1                     | x86_64 | Main Repository (OSS)
i  | libQt5Gui5                                 | package | 5.15.16+kde130-1.1                     | x86_64 | Main Repository (OSS)
i  | libQt5Network5                             | package | 5.15.16+kde130-1.1                     | x86_64 | Main Repository (OSS)
i  | libQt5Sql5                                 | package | 5.15.16+kde130-1.1                     | x86_64 | Main Repository (OSS)
i  | libQt5Sql5-sqlite                          | package | 5.15.16+kde130-1.1                     | x86_64 | Main Repository (OSS)
i  | libQt5Svg5                                 | package | 5.15.16+kde5-1.1                       | x86_64 | Main Repository (OSS)
i  | libQt5Test5                                | package | 5.15.16+kde130-1.1                     | x86_64 | Main Repository (OSS)
i  | libQt5WaylandClient5                       | package | 5.15.16+kde59-1.1                      | x86_64 | Main Repository (OSS)
i  | libQt5Widgets5                             | package | 5.15.16+kde130-1.1                     | x86_64 | Main Repository (OSS)
i  | libQt5X11Extras5                           | package | 5.15.16+kde0-1.1                       | x86_64 | Main Repository (OSS)
i  | libQt5Xml5                                 | package | 5.15.16+kde130-1.1                     | x86_64 | Main Repository (OSS)
i  | libQt5XmlPatterns5                         | package | 5.15.16+kde0-1.1                       | x86_64 | Main Repository (OSS)
i  | libQt6Core6                                | package | 6.8.0-2.2                              | x86_64 | Main Repository (OSS)
i  | libQt6DBus6                                | package | 6.8.0-2.2                              | x86_64 | Main Repository (OSS)
i  | libQt6Gui6                                 | package | 6.8.0-2.2                              | x86_64 | Main Repository (OSS)
i  | libQt6LabsAnimation6                       | package | 6.8.0-5.1                              | x86_64 | Main Repository (OSS)
i  | libQt6LabsFolderListModel6                 | package | 6.8.0-5.1                              | x86_64 | Main Repository (OSS)
i  | libQt6LabsPlatform6                        | package | 6.8.0-5.1                              | x86_64 | Main Repository (OSS)
i  | libQt6LabsQmlModels6                       | package | 6.8.0-5.1                              | x86_64 | Main Repository (OSS)
i  | libQt6LabsSettings6                        | package | 6.8.0-5.1                              | x86_64 | Main Repository (OSS)
i  | libQt6LabsSharedImage6                     | package | 6.8.0-5.1                              | x86_64 | Main Repository (OSS)
i  | libQt6LabsWavefrontMesh6                   | package | 6.8.0-5.1                              | x86_64 | Main Repository (OSS)
i  | libQt6Network6                             | package | 6.8.0-2.2                              | x86_64 | Main Repository (OSS)
i  | libQt6OpenGL6                              | package | 6.8.0-2.2                              | x86_64 | Main Repository (OSS)
i  | libQt6Qml6                                 | package | 6.8.0-5.1                              | x86_64 | Main Repository (OSS)
i  | libQt6QmlCompiler6                         | package | 6.8.0-5.1                              | x86_64 | Main Repository (OSS)
i  | libQt6QmlCore6                             | package | 6.8.0-5.1                              | x86_64 | Main Repository (OSS)
i  | libQt6QmlLocalStorage6                     | package | 6.8.0-5.1                              | x86_64 | Main Repository (OSS)
i  | libQt6QmlMeta6                             | package | 6.8.0-5.1                              | x86_64 | Main Repository (OSS)
i  | libQt6QmlModels6                           | package | 6.8.0-5.1                              | x86_64 | Main Repository (OSS)
i  | libQt6QmlNetwork6                          | package | 6.8.0-5.1                              | x86_64 | Main Repository (OSS)
i  | libQt6QmlWorkerScript6                     | package | 6.8.0-5.1                              | x86_64 | Main Repository (OSS)
i  | libQt6QmlXmlListModel6                     | package | 6.8.0-5.1                              | x86_64 | Main Repository (OSS)
i  | libQt6Quick6                               | package | 6.8.0-5.1                              | x86_64 | Main Repository (OSS)
i  | libQt6QuickControls2-6                     | package | 6.8.0-5.1                              | x86_64 | Main Repository (OSS)
i  | libQt6QuickControls2Impl6                  | package | 6.8.0-5.1                              | x86_64 | Main Repository (OSS)
i  | libQt6QuickDialogs2-6                      | package | 6.8.0-5.1                              | x86_64 | Main Repository (OSS)
i  | libQt6QuickDialogs2QuickImpl6              | package | 6.8.0-5.1                              | x86_64 | Main Repository (OSS)
i  | libQt6QuickDialogs2Utils6                  | package | 6.8.0-5.1                              | x86_64 | Main Repository (OSS)
i  | libQt6QuickEffects6                        | package | 6.8.0-5.1                              | x86_64 | Main Repository (OSS)
i  | libQt6QuickLayouts6                        | package | 6.8.0-5.1                              | x86_64 | Main Repository (OSS)
i  | libQt6QuickParticles6                      | package | 6.8.0-5.1                              | x86_64 | Main Repository (OSS)
i  | libQt6QuickShapes6                         | package | 6.8.0-5.1                              | x86_64 | Main Repository (OSS)
i  | libQt6QuickTemplates2-6                    | package | 6.8.0-5.1                              | x86_64 | Main Repository (OSS)
i  | libQt6QuickTest6                           | package | 6.8.0-5.1                              | x86_64 | Main Repository (OSS)
i  | libQt6QuickVectorImage6                    | package | 6.8.0-5.1                              | x86_64 | Main Repository (OSS)
i  | libQt6Sql6                                 | package | 6.8.0-2.2                              | x86_64 | Main Repository (OSS)
i  | libQt6Svg6                                 | package | 6.8.0-1.1                              | x86_64 | Main Repository (OSS)
i  | libQt6Test6                                | package | 6.8.0-2.2                              | x86_64 | Main Repository (OSS)
i  | libQt6WaylandClient6                       | package | 6.8.0-3.1                              | x86_64 | Main Repository (OSS)
i  | libQt6WaylandCompositor6                   | package | 6.8.0-3.1                              | x86_64 | Main Repository (OSS)
i  | libQt6WaylandEglClientHwIntegration6       | package | 6.8.0-3.1                              | x86_64 | Main Repository (OSS)
i  | libQt6WaylandEglCompositorHwIntegration6   | package | 6.8.0-3.1                              | x86_64 | Main Repository (OSS)
i  | libQt6Widgets6                             | package | 6.8.0-2.2                              | x86_64 | Main Repository (OSS)
i  | libQt6WlShellIntegration6                  | package | 6.8.0-3.1                              | x86_64 | Main Repository (OSS)
i  | libQtQuick5                                | package | 5.15.16+kde22-1.1                      | x86_64 | Main Repository (OSS)
i  | libquadmath0                               | package | 14.2.1+git10750-1.1                    | x86_64 | Main Repository (OSS)
i  | libquazip1-qt5-1_4_0                       | package | 1.4-2.7                                | x86_64 | Main Repository (OSS)
i  | librados2                                  | package | 16.2.15.74+gc5dd01a91d8-1.4            | x86_64 | Main Repository (OSS)
i  | librav1e0_7                                | package | 0.7.1-1.1                              | x86_64 | Main Repository (OSS)
i  | librav1e0_7-32bit                          | package | 0.7.1-1.1                              | x86_64 | Main Repository (OSS)
i  | libraw23                                   | package | 0.21.2-2.1                             | x86_64 | Main Repository (OSS)
i  | libraw1394-11                              | package | 2.1.2-2.2                              | x86_64 | Main Repository (OSS)
i  | libraw1394-11-32bit                        | package | 2.1.2-2.2                              | x86_64 | Main Repository (OSS)
i  | librbd1                                    | package | 16.2.15.74+gc5dd01a91d8-1.4            | x86_64 | Main Repository (OSS)
i  | librdmacm1                                 | package | 54.0-1.1                               | x86_64 | Main Repository (OSS)
i  | libreadline8                               | package | 8.2.13-2.1                             | x86_64 | Main Repository (OSS)
i  | librepo0                                   | package | 1.19.0-1.1                             | x86_64 | Main Repository (OSS)
i  | libressl-devel                             | package | 4.0.0-1.1                              | x86_64 | Main Repository (OSS)
i  | librest-1_0-0                              | package | 0.9.1-3.5                              | x86_64 | Main Repository (OSS)
i  | librhash1                                  | package | 1.4.4-1.4                              | x86_64 | Main Repository (OSS)
i  | librist4                                   | package | 0.2.7-1699.1.pm.27                     | x86_64 | Packman
i  | librist4-32bit                             | package | 0.2.10-1.3                             | x86_64 | Main Repository (OSS)
i  | librmt1_0                                  | package | 2024.03.21-51.1                        | x86_64 | Main Repository (OSS)
i  | librpmbuild10                              | package | 4.19.1.1-4.1                           | x86_64 | Main Repository (OSS)
i  | librscg1_0                                 | package | 2024.03.21-51.1                        | x86_64 | Main Repository (OSS)
i  | librsvg-2-2                                | package | 2.59.2-2.1                             | x86_64 | Main Repository (OSS)
i  | librtmp1                                   | package | 2.4.20151223.fa8646d-1699.2.pm.3       | x86_64 | Packman
i  | librubberband2                             | package | 3.1.0-1.8                              | x86_64 | Main Repository (OSS)
i  | libruby3_3-3_3                             | package | 3.3.6-1.1                              | x86_64 | Main Repository (OSS)
i  | libsamplerate0                             | package | 0.2.2-3.1                              | x86_64 | Main Repository (OSS)
i  | libsane1                                   | package | 1.3.1-2.2                              | x86_64 | Main Repository (OSS)
i  | libsane1-32bit                             | package | 1.3.1-2.2                              | x86_64 | Main Repository (OSS)
i  | libsasl2-3                                 | package | 2.1.28-9.1                             | x86_64 | Main Repository (OSS)
i  | libsasl2-3-32bit                           | package | 2.1.28-9.1                             | x86_64 | Main Repository (OSS)
i  | libsbc1                                    | package | 1.5-3.1                                | x86_64 | Main Repository (OSS)
i  | libsbc1-32bit                              | package | 1.5-3.1                                | x86_64 | Main Repository (OSS)
i  | libscfg1                                   | package | 0.1.1-1.1                              | x86_64 | Main Repository (OSS)
i  | libscg1_0                                  | package | 2024.03.21-51.1                        | x86_64 | Main Repository (OSS)
i  | libscgcmd1_0                               | package | 2024.03.21-51.1                        | x86_64 | Main Repository (OSS)
i  | libschily2_0                               | package | 2024.03.21-51.1                        | x86_64 | Main Repository (OSS)
i  | libschroedinger-1_0-0                      | package | 1.0.11-11.25                           | x86_64 | Main Repository (OSS)
i  | libsdbus-c++1                              | package | 1.6.0-1.1                              | x86_64 | Main Repository (OSS)
i  | libSDL2-2_0-0                              | package | 2.30.9-1.1                             | x86_64 | Main Repository (OSS)
i  | libSDL2-2_0-0-32bit                        | package | 2.30.9-1.1                             | x86_64 | Main Repository (OSS)
i  | libSDL2_net-2_0-0                          | package | 2.2.0-1.7                              | x86_64 | Main Repository (OSS)
i  | libseat1                                   | package | 0.9.1-1.1                              | x86_64 | Main Repository (OSS)
i  | libseccomp2                                | package | 2.5.5-1.3                              | x86_64 | Main Repository (OSS)
i  | libsecret-1-0                              | package | 0.21.4-1.2                             | x86_64 | Main Repository (OSS)
i  | libselinux-devel                           | package | 3.7-3.1                                | x86_64 | Main Repository (OSS)
i  | libselinux1                                | package | 3.7-3.1                                | x86_64 | Main Repository (OSS)
i  | libselinux1-32bit                          | package | 3.7-3.1                                | x86_64 | Main Repository (OSS)
i  | libsemanage-conf                           | package | 3.7-3.1                                | x86_64 | Main Repository (OSS)
i  | libsemanage2                               | package | 3.7-3.1                                | x86_64 | Main Repository (OSS)
i  | libsensors4                                | package | 3.6.2-3.2                              | x86_64 | Main Repository (OSS)
i  | libsepol-devel                             | package | 3.7-1.1                                | x86_64 | Main Repository (OSS)
i  | libsepol2                                  | package | 3.7-1.1                                | x86_64 | Main Repository (OSS)
i  | libserd-0-0                                | package | 0.30.16-1.6                            | x86_64 | Main Repository (OSS)
i  | libserd-0-0-32bit                          | package | 0.30.16-1.6                            | x86_64 | Main Repository (OSS)
i  | libserf-1-1                                | package | 1.3.10-2.1                             | x86_64 | Main Repository (OSS)
i  | libsgutils2-1_48-2                         | package | 1.48+9.ecc03bb-1.1                     | x86_64 | Main Repository (OSS)
i  | libsha1detectcoll1                         | package | 1.0.3-5.1                              | x86_64 | Main Repository (OSS)
i  | libshaderc_shared1                         | package | 2024.3-1.1                             | x86_64 | Main Repository (OSS)
i  | libsharpyuv0                               | package | 1.4.0-2.1                              | x86_64 | Main Repository (OSS)
i  | libsharpyuv0-32bit                         | package | 1.4.0-2.1                              | x86_64 | Main Repository (OSS)
i  | libshout3                                  | package | 2.4.6-2.2                              | x86_64 | Main Repository (OSS)
i  | libsigc-2_0-0                              | package | 2.12.1-2.3                             | x86_64 | Main Repository (OSS)
i  | libsigc-2_0-0-32bit                        | package | 2.12.1-2.3                             | x86_64 | Main Repository (OSS)
i  | libsigc-3_0-0                              | package | 3.6.0-2.1                              | x86_64 | Main Repository (OSS)
i  | libsixel1                                  | package | 1.10.3-1.9                             | x86_64 | Main Repository (OSS)
i  | libslang2                                  | package | 2.3.3-3.2                              | x86_64 | Main Repository (OSS)
i  | libslirp0                                  | package | 4.8.0+2-1.1                            | x86_64 | Main Repository (OSS)
i  | libslopy7_6                                | package | 7.6-2.9                                | x86_64 | Main Repository (OSS)
i  | libslp1                                    | package | 2.0.0-22.2                             | x86_64 | Main Repository (OSS)
i  | libSM-devel                                | package | 1.2.4-2.5                              | x86_64 | Main Repository (OSS)
i  | libSM6                                     | package | 1.2.4-2.5                              | x86_64 | Main Repository (OSS)
i  | libSM6-32bit                               | package | 1.2.4-2.5                              | x86_64 | Main Repository (OSS)
i  | libsmartcols1                              | package | 2.40.2-2.1                             | x86_64 | Main Repository (OSS)
i  | libsmputils1-1                             | package | 0.99-2.16                              | x86_64 | Main Repository (OSS)
i  | libsnapper7                                | package | 0.12.0-1.1                             | x86_64 | Main Repository (OSS)
i  | libsnappy1                                 | package | 1.1.10-2.2                             | x86_64 | Main Repository (OSS)
i  | libsndfile1                                | package | 1.2.2-3.1                              | x86_64 | Main Repository (OSS)
i  | libsndfile1-32bit                          | package | 1.2.2-3.1                              | x86_64 | Main Repository (OSS)
i  | libsndio7                                  | package | 1.9.0-1.3                              | x86_64 | Main Repository (OSS)
i  | libsnmp40                                  | package | 5.9.4-3.1                              | x86_64 | Main Repository (OSS)
i  | libsodium26                                | package | 1.0.20-1.1                             | x86_64 | Main Repository (OSS)
i  | libsodium26-32bit                          | package | 1.0.20-1.1                             | x86_64 | Main Repository (OSS)
i  | libsoftokn3                                | package | 3.106-1.1                              | x86_64 | Main Repository (OSS)
i  | libsoftokn3-32bit                          | package | 3.106-1.1                              | x86_64 | Main Repository (OSS)
i  | libsolv-tools-base                         | package | 0.7.31-1.2                             | x86_64 | Main Repository (OSS)
i  | libsord-0-0                                | package | 0.16.14-3.1                            | x86_64 | Main Repository (OSS)
i  | libsord-0-0-32bit                          | package | 0.16.14-3.1                            | x86_64 | Main Repository (OSS)
i  | libSoundTouch1                             | package | 2.3.3-1.1                              | x86_64 | Main Repository (OSS)
i  | libsoup-2_4-1                              | package | 2.74.3-5.1                             | x86_64 | Main Repository (OSS)
i  | libsoup-3_0-0                              | package | 3.6.1-1.1                              | x86_64 | Main Repository (OSS)
i  | libsoxr0                                   | package | 0.1.3-2.18                             | x86_64 | Main Repository (OSS)
i  | libsoxr0-32bit                             | package | 0.1.3-2.18                             | x86_64 | Main Repository (OSS)
i  | libspandsp3                                | package | 3.0.0+g21-1.3                          | x86_64 | Main Repository (OSS)
i  | libspdlog1_15                              | package | 1.15.0-1.1                             | x86_64 | Main Repository (OSS)
i  | libspeech-provider-1_0                     | package | 1.0.1-1.1                              | x86_64 | Main Repository (OSS)
i  | libspeechd2                                | package | 0.12.0~rc4-1.1                         | x86_64 | Main Repository (OSS)
i  | libspeechd_module0                         | package | 0.12.0~rc4-1.1                         | x86_64 | Main Repository (OSS)
i  | libspeex1                                  | package | 1.2.1-2.2                              | x86_64 | Main Repository (OSS)
i  | libspeex1-32bit                            | package | 1.2.1-2.2                              | x86_64 | Main Repository (OSS)
i  | libspeexdsp1                               | package | 1.2.1-2.3                              | x86_64 | Main Repository (OSS)
i  | libspice-client-glib-2_0-8                 | package | 0.42-4.3                               | x86_64 | Main Repository (OSS)
i  | libspice-client-glib-helper                | package | 0.42-4.3                               | x86_64 | Main Repository (OSS)
i  | libspice-client-gtk-3_0-5                  | package | 0.42-4.3                               | x86_64 | Main Repository (OSS)
i  | libspice-server1                           | package | 0.15.2-4.2                             | x86_64 | Main Repository (OSS)
i  | libspiel-1_0                               | package | 1.0.1-1.1                              | x86_64 | Main Repository (OSS)
i  | libSPIRV-Tools-2024_4_rc1                  | package | 2024.4~rc1-1.1                         | x86_64 | Main Repository (OSS)
i  | libSPIRV-Tools-2024_4_rc1-32bit            | package | 2024.4~rc1-1.1                         | x86_64 | Main Repository (OSS)
i  | libsqlite3-0                               | package | 3.47.1-1.1                             | x86_64 | Main Repository (OSS)
i  | libsqlite3-0-32bit                         | package | 3.47.1-1.1                             | x86_64 | Main Repository (OSS)
i  | libsqlite3-0-x86-64-v3                     | package | 3.47.1-1.1                             | x86_64 | Main Repository (OSS)
i  | libsratom-0-0                              | package | 0.6.14-2.4                             | x86_64 | Main Repository (OSS)
i  | libsratom-0-0-32bit                        | package | 0.6.14-2.4                             | x86_64 | Main Repository (OSS)
i  | libsrt1_5                                  | package | 1.5.3-1.3                              | x86_64 | Main Repository (OSS)
i  | libsrt1_5-32bit                            | package | 1.5.3-1.3                              | x86_64 | Main Repository (OSS)
i  | libsrtp2-1                                 | package | 2.6.0-1.1                              | x86_64 | Main Repository (OSS)
i  | libssh-config                              | package | 0.11.1-1.1                             | noarch | Main Repository (OSS)
i  | libssh2-1                                  | package | 1.11.1-1.1                             | x86_64 | Main Repository (OSS)
i  | libssh4                                    | package | 0.11.1-1.1                             | x86_64 | Main Repository (OSS)
i  | libssh4-32bit                              | package | 0.11.1-1.1                             | x86_64 | Main Repository (OSS)
i  | libssl58                                   | package | 4.0.0-1.1                              | x86_64 | Main Repository (OSS)
i  | libstartup-notification-1-0                | package | 0.12-17.2                              | x86_64 | Main Repository (OSS)
i  | libstdc++-devel                            | package | 14-2.1                                 | x86_64 | Main Repository (OSS)
i  | libstdc++6                                 | package | 14.2.1+git10750-1.1                    | x86_64 | Main Repository (OSS)
i  | libstdc++6-32bit                           | package | 14.2.1+git10750-1.1                    | x86_64 | Main Repository (OSS)
i  | libstdc++6-devel-gcc14                     | package | 14.2.1+git10750-1.1                    | x86_64 | Main Repository (OSS)
i  | libstemmer1d                               | package | 2.2.0-2.1                              | x86_64 | Main Repository (OSS)
i  | libstorage-ng-lang                         | package | 4.5.219-1.1                            | noarch | Main Repository (OSS)
i  | libstorage-ng-ruby                         | package | 4.5.219-1.1                            | x86_64 | Main Repository (OSS)
i  | libstorage-ng1                             | package | 4.5.219-1.1                            | x86_64 | Main Repository (OSS)
i  | libsubid5                                  | package | 4.16.0-3.1                             | x86_64 | Main Repository (OSS)
i  | libSvtAv1Enc2                              | package | 2.3.0-1.1                              | x86_64 | Main Repository (OSS)
i  | libswresample3_9                           | package | 4.4.4-1699.22.pm.9                     | x86_64 | Packman
i  | libswresample5                             | package | 7.1-1699.3.pm.3                        | x86_64 | Packman
i  | libswresample5-32bit                       | package | 7.1-1699.3.pm.3                        | x86_64 | Packman
i  | libswscale5_9                              | package | 4.4.4-1699.22.pm.9                     | x86_64 | Packman
i  | libswscale8                                | package | 7.1-1699.3.pm.3                        | x86_64 | Packman
i  | libsynctex2                                | package | 1.21-101.2                             | x86_64 | Main Repository (OSS)
i  | libsystemd0                                | package | 256.9-1.1                              | x86_64 | Main Repository (OSS)
i  | libsystemd0-32bit                          | package | 256.9-1.1                              | x86_64 | Main Repository (OSS)
i  | libtag2                                    | package | 2.0.2-1.1                              | x86_64 | Main Repository (OSS)
i  | libtalloc2                                 | package | 2.4.2-1.1                              | x86_64 | Main Repository (OSS)
i  | libtalloc2-32bit                           | package | 2.4.2-1.1                              | x86_64 | Main Repository (OSS)
i  | libtalloc2-x86-64-v3                       | package | 2.4.2-1.1                              | x86_64 | Main Repository (OSS)
i  | libtasn1-6                                 | package | 4.19.0-1.7                             | x86_64 | Main Repository (OSS)
i  | libtasn1-6-32bit                           | package | 4.19.0-1.7                             | x86_64 | Main Repository (OSS)
i  | libtbb12                                   | package | 2021.12.0-1.2                          | x86_64 | Main Repository (OSS)
i  | libtdb1                                    | package | 1.4.12-1.1                             | x86_64 | Main Repository (OSS)
i  | libtdb1-32bit                              | package | 1.4.12-1.1                             | x86_64 | Main Repository (OSS)
i  | libtevent0                                 | package | 0.16.1-1.1                             | x86_64 | Main Repository (OSS)
i  | libtevent0-32bit                           | package | 0.16.1-1.1                             | x86_64 | Main Repository (OSS)
i  | libtextstyle0                              | package | 0.22.5-7.1                             | x86_64 | Main Repository (OSS)
i  | libthai-data                               | package | 0.1.29-1.8                             | x86_64 | Main Repository (OSS)
i  | libthai-devel                              | package | 0.1.29-1.8                             | x86_64 | Main Repository (OSS)
i  | libthai0                                   | package | 0.1.29-1.8                             | x86_64 | Main Repository (OSS)
i  | libthai0-32bit                             | package | 0.1.29-1.8                             | x86_64 | Main Repository (OSS)
i  | libtheora0                                 | package | 1.1.1-30.12                            | x86_64 | Main Repository (OSS)
i  | libtheora0-32bit                           | package | 1.1.1-30.12                            | x86_64 | Main Repository (OSS)
i  | libtheoradec1                              | package | 1.1.1-30.12                            | x86_64 | Main Repository (OSS)
i  | libtheoradec1-32bit                        | package | 1.1.1-30.12                            | x86_64 | Main Repository (OSS)
i  | libtheoraenc1                              | package | 1.1.1-30.12                            | x86_64 | Main Repository (OSS)
i  | libtheoraenc1-32bit                        | package | 1.1.1-30.12                            | x86_64 | Main Repository (OSS)
i  | libthunarx-3-0                             | package | 4.18.11-1.1                            | x86_64 | Main Repository (OSS)
i  | libtiff-devel                              | package | 4.7.0-2.1                              | x86_64 | Main Repository (OSS)
i  | libtiff-devel-docs                         | package | 4.7.0-2.1                              | noarch | Main Repository (OSS)
i  | libtiff6                                   | package | 4.7.0-2.1                              | x86_64 | Main Repository (OSS)
i  | libtiff6-32bit                             | package | 4.7.0-2.1                              | x86_64 | Main Repository (OSS)
i  | libtirpc-netconfig                         | package | 1.3.6-1.1                              | x86_64 | Main Repository (OSS)
i  | libtirpc3                                  | package | 1.3.6-1.1                              | x86_64 | Main Repository (OSS)
i  | libtls31                                   | package | 4.0.0-1.1                              | x86_64 | Main Repository (OSS)
i  | libtomlplusplus3                           | package | 3.4.0-1.3                              | x86_64 | Main Repository (OSS)
i  | libtool                                    | package | 2.4.7-3.9                              | x86_64 | Main Repository (OSS)
i  | libtotem-plparser18                        | package | 3.26.6+30-1.1                          | x86_64 | Main Repository (OSS)
i  | libtpms0                                   | package | 0.9.6-2.3                              | x86_64 | Main Repository (OSS)
i  | libtracker-sparql-3_0-0                    | package | 3.8.1-1.1                              | x86_64 | Main Repository (OSS)
i  | libtree-sitter0_24                         | package | 0.24.4-1.1                             | x86_64 | Main Repository (OSS)
i  | libtree-sitter0_24-x86-64-v3               | package | 0.24.4-1.1                             | x86_64 | Main Repository (OSS)
i  | libts0                                     | package | 1.22-1.15                              | x86_64 | Main Repository (OSS)
